ID_P,NAME_P,DATE_P,COUNTRY_P,RANK_P,PROGRESS_P,POINT_P,HARDPOINT_P,HARDTOUR_P,CLAYPOINT_P,CLAYTOUR_P,GRASSPOINT_P,GRASSTOUR_P,CARPETPOINT_P,CARPETTOUR_P,PRIZE_P,CH_P,DR_P,DP_P,DO_P,IHARDPOINT_P,IHARDTOUR_P,ITF_ID
139,"Amelie Mauresmo","07/05/79 00:00:00","FRA",,,,,,,,,,,,15022476,,,,,,,
140,"Andrea Glass","07/17/76 00:00:00","GER",,,,,,,,,,,,589087,,,,,,,
141,"Melanie Schnell","02/22/77 00:00:00","AUT",,,,,,,,,,,,157096,,,,,,,
142,"Maria Strandlund-Tomsvik","08/17/69 00:00:00","SWE",,,,,,,,,,,,448550,,,,,,,
143,"Christina Singer","07/27/68 00:00:00","GER",,,,,,,,,,,,,,,,,,,
144,"Maria Vento-Kabchi","05/24/74 00:00:00","VEN",,,,,,,,,,,,1591803,,,,,,,
145,"Pam Shriver","07/04/62 00:00:00","USA",,,,,,,,,,,,5460566,,,,,,,
146,"Elena Brioukhovets","06/08/71 00:00:00","UKR",,,,,,,,,,,,386215,,,,,,,
147,"Angelica Gavaldon","10/03/73 00:00:00","MEX",,,,,,,,,,,,504376,,,,,,,
148,"Kristina Triska","03/06/80 00:00:00","SWE",,,,,,,,,,,,69865,,,,,,,
149,"Olga Barabanschikova","11/02/79 00:00:00","BLR",,,,,,,,,,,,548692,,,,,,,
150,"Alexandra Stevenson","12/15/80 00:00:00","USA",,,,,,,,,,,,1472403,,,,,,,
151,"Venus Williams","06/17/80 00:00:00","USA",,,,,,,,,,,,42648578,,,,,,,
152,"Brie Rippner","01/21/80 00:00:00","USA",,,,,,,,,,,,382708,,,,,,,
153,"Mariaan De Swardt","03/18/71 00:00:00","RSA",,,,,,,,,,,,1127365,,,,,,,
154,"Meghann Shaughnessy","04/13/79 00:00:00","USA",,,,,,,,,,,,3975223,,,,,,,
155,"Monica Seles","12/02/73 00:00:00","USA",,,,,,,,,,,,14891762,,,,,,,
156,"Tatiana Panova","08/13/76 00:00:00","RUS",,,,,,,,,,,,1561660,,,,,,,
157,"Samantha Smith","11/27/71 00:00:00","GBR",,,,,,,,,,,,351902,,,,,,,
158,"Eva Martincova","03/04/75 00:00:00","CZE",,,,,,,,,,,,326219,,,,,,,
159,"Jessica Steck","08/06/78 00:00:00","RSA",,,,,,,,,,,,187865,,,,,,,
160,"Mariana Diaz-Oliva","03/11/76 00:00:00","ARG",,,,,,,,,,,,1009342,,,,,,,
161,"Janet Lee","10/22/76 00:00:00","TPE",,,,,,,,,,,,943370,,,,,,,
162,"Misumi Miyauchi","09/06/71 00:00:00","JPN",,,,,,,,,,,,143920,,,,,,,
163,"Yuko Hosoki","11/12/68 00:00:00","JPN",,,,,,,,,,,,47576,,,,,,,
164,"Jane Chi","06/21/74 00:00:00","USA",,,,,,,,,,,,250663,,,,,,,
165,"Eun-Ha Kim","03/08/75 00:00:00","KOR",,,,,,,,,,,,182957,,,,,,,
166,"Haruka Inoue","06/07/77 00:00:00","JPN",,,,,,,,,,,,206194,,,,,,,
167,"Elena Tatarkova","08/22/76 00:00:00","UKR",,,,,,,,,,,,861974,,,,,,,
168,"Nirupama Sanjeev","12/08/76 00:00:00","IND",,,,,,,,,,,,182057,,,,,,,
169,"Virag Csurgo","11/10/72 00:00:00","HUN",,,,,,,,,,,,160084,,,,,,,
170,"Rita Kuti Kis","02/13/78 00:00:00","HUN",,,,,,,,,,,,472961,,,,,,,
171,"Nora Koves","06/13/71 00:00:00","HUN",,,,,,,,,,,,56769,,,,,,,
172,"Andrea Temesvari","04/26/66 00:00:00","HUN",,,,,,,,,,,,1162635,,,,,,,
173,"Liza Andriyani","02/12/79 00:00:00","INA",,,,,,,,,,,,35061,,,,,,,
174,"Mimma Chernovita","11/11/74 00:00:00","INA",,,,,,,,,,,,20576,,,,,,,
175,"Mi-Ra Jeon","02/06/78 00:00:00","KOR",,,,,,,,,,,,234166,,,,,,,
176,"Lenka Nemeckova","04/20/76 00:00:00","CZE",,,,,,,,,,,,533966,,,,,,,
177,"Kerry-Anne Guse","12/04/72 00:00:00","AUS",,,,,,,,,,,,621389,,,,,,,
178,"Maria-Jose Gaidano","05/25/73 00:00:00","ARG",,,,,,,,,,,,,,,,,,,
179,"Laura Pena","11/01/79 00:00:00","ESP",,,,,,,,,,,,52168,,,,,,,
180,"Mirjana Lucic-Baroni","03/09/82 00:00:00","CRO",,,,,,,,,,,,4253458,,,,,,,
181,"Ana Alcazar","06/08/79 00:00:00","ESP",,,,,,,,,,,,61848,,,,,,,
182,"Maja Muric","02/27/74 00:00:00","CRO",,,,,,,,,,,,148502,,,,,,,
183,"Maja Palaversic-Cooper-Smith","03/24/73 00:00:00","CRO",,,,,,,,,,,,,,,,,,,
184,"Olga Lugina","01/08/74 00:00:00","UKR",,,,,,,,,,,,285179,,,,,,,
185,"Svetlana Krivencheva","12/30/73 00:00:00","BUL",,,,,,,,,,,,349520,,,,,,,
186,"Sandra Kloesel","06/22/79 00:00:00","GER",,,,,,,,,,,,653396,,,,,,,
187,"Sandra Cecchini","02/27/65 00:00:00","ITA",,,,,,,,,,,,1319152,,,,,,,
188,"Alice Canepa","04/30/78 00:00:00","ITA",,,,,,,,,,,,217781,,,,,,,
189,"Laurence Courtois","01/18/76 00:00:00","BEL",,,,,,,,,,,,739366,,,,,,,
