ID_P,NAME_P,DATE_P,COUNTRY_P,RANK_P,PROGRESS_P,POINT_P,HARDPOINT_P,HARDTOUR_P,CLAYPOINT_P,CLAYTOUR_P,GRASSPOINT_P,GRASSTOUR_P,CARPETPOINT_P,CARPETTOUR_P,PRIZE_P,CH_P,DR_P,DP_P,DO_P,IHARDPOINT_P,IHARDTOUR_P,ITF_ID
227,"Javier Frana","12/25/66 00:00:00","ARG",,,,,,,,,,,,1691848,,,,,,,
228,"Pat Cash","05/27/65 00:00:00","AUS",,,,,,,,,,,,1950345,,,,,,,
229,"Luke Jensen","06/18/66 00:00:00","USA",,,,,,,,,,,,1313255,,,,,,,800743212
230,"Luis-Enrique Herrera","08/27/71 00:00:00","MEX",,,,,,,,,,,,542438,,,,,,,
231,"Stephane Simian","06/08/67 00:00:00","FRA",,,,,,,,,,,,796223,,,,,,,
232,"Fernon Wibier","02/25/71 00:00:00","NED",,,,,,,,,,,,563876,,,,,,,
233,"Bobby Kokavec","05/17/76 00:00:00","CAN",,,,,,,,,,,,115924,,,,,,,
234,"Doug Flach","08/10/70 00:00:00","USA",,,,,,,,,,,,670927,,,,,,,
235,"Tommy Ho","06/17/73 00:00:00","USA",,,,,,,,,,,,793819,,,,,,,
236,"Nuno Marques","04/09/70 00:00:00","POR",,,,,,,,,,,,856875,,,,,,,
237,"Danny Sapsford","04/03/69 00:00:00","GBR",,,,,,,,,,,,450722,,,,,,,
238,"Petr Luxa","03/03/72 00:00:00","CZE",,,,,,,,,,,,635062,,,,,,,
239,"Wayne Black","11/14/73 00:00:00","ZIM",,,,,,,,,,,,3300258,,,,,,,
240,"Orlin Stanoytchev","09/24/71 00:00:00","BUL",,,,,,,,,,,,484515,,,,,,,
241,"Neville Godwin","01/31/75 00:00:00","RSA",,,,,,,,,,,,912783,,,,,,,
242,"Diego Lozano-Villalba","05/21/73 00:00:00","ESP",,,,,,,,,,,,,,,,,,,
243,"Francisco Roig","04/01/68 00:00:00","ESP",,,,,,,,,,,,1466118,,,,,,,
244,"Frederic Fontang","03/18/70 00:00:00","FRA",,,,,,,,,,,,513509,,,,,,,
245,"David Caldwell","06/13/74 00:00:00","USA",,,,,,,,,,,,114102,,,,,,,
246,"Michael Stich","10/18/68 00:00:00","GER",,,,,,,,,,,,12595128,,,,,,,
247,"Gabriel Silberstein","10/17/74 00:00:00","CHI",,,,,,,,,,,,116651,,,,,,,
248,"Andrey Merinov","06/23/71 00:00:00","RUS",,,,,,,,,,,,185632,,,,,,,
249,"Kevin Ullyett","05/23/72 00:00:00","ZIM",,,,,,,,,,,,4138771,,,,,,,
250,"Emilio Sanchez","05/29/65 00:00:00","ESP",,,,,,,,,,,,5332145,,,,,,,
251,"Davide Scala","01/02/72 00:00:00","ITA",,,,,,,,,,,,168066,,,,,,,
252,"Alejandro Hernandez","10/01/77 00:00:00","MEX",,,,,,,,,,,,456412,,,,,,,
253,"David Caballero-Garcia","11/14/74 00:00:00","ESP",,,,,,,,,,,,64042,,,,,,,
254,"Francisco Cabello","12/06/72 00:00:00","ARG",,,,,,,,,,,,178111,,,,,,,
255,"Ben Ellwood","03/12/76 00:00:00","AUS",,,,,,,,,,,,388461,,,,,,,
256,"Cecil Mamiit","06/27/76 00:00:00","PHI",,,,,,,,,,,,1084438,,,,,,,
257,"Cristiano Caratti","05/24/70 00:00:00","ITA",,,,,,,,,,,,1368916,,,,,,,
