ID_P,TURNED_PRO,WEIGHT,HEIGHT,BIRTHPLACE,RESIDENCE,PLAYS,COACH,SITE,PAGE,TWITTER,FACEBOOK,INSTAGRAM,LAST_REVISED
63,"1996",93,191,"Barcelona, Spain","Barcelona, Spain","Right-Handed, Unknown Backhand","Pato Alvarez",,"http://www.atpworldtour.com/en/players/juan-balcells/b487/overview",,,,"01.01.2023"
64,"1990",91,185,"Adelaide, S.A., Australia","Melbourne, Australia","Left-Handed, One-Handed Backhand",,,"http://www.atpworldtour.com/en/players/wayne-arthurs/a202/overview",,,,"01.01.2023"
65,"1997",73,175,"Uherske Hradiste, Czech Rep.","Napajedla, Czech Republic","Right-Handed, Two-Handed Backhand","Jaro Navratil",,"http://www.atpworldtour.com/en/players/michal-tabara/t243/overview",,,,"01.01.2023"
66,"1993",86,191,"Zlin, Czech Republic","Monte Carlo, Monaco","Right-Handed, Two-Handed Backhand","Jan Kukal",,"http://www.atpworldtour.com/en/players/jiri-novak/n254/overview",,,,"01.01.2023"
67,"1986",78,185,"Lund, Sweden","Gothenburg, Sweden","Right-Handed, Unknown Backhand","Stefan Simonsson",,"http://www.atpworldtour.com/en/players/magnus-gustafsson/g182/overview",,,,"01.01.2023"
68,"1997",80,183,"Vina del Mar, Chile","Vina del Mar, Chile","Right-Handed, Two-Handed Backhand","Gabriel Markus",,"http://www.atpworldtour.com/en/players/nicolas-massu/m655/overview","https://twitter.com/massunico","https://www.facebook.com/Nicolas-Massu-1491751617535908/","https://www.instagram.com/massunico/","01.01.2023"
69,"1995",72,170,"Oviedo, Spain","Barcelona, Spain","Right-Handed, One-Handed Backhand",,,"http://www.atpworldtour.com/en/players/galo-blanco/b518/overview",,,,"01.01.2023"
70,"1988",76,188,"Barcelona, Spain","Barcelona, Spain","Right-Handed, Unknown Backhand","Luis Bruguera, Paul Dorochenko",,"http://www.atpworldtour.com/en/players/sergi-bruguera/b350/overview",,,,"01.01.2023"
71,"1998",92,193,"Banja Luka, Bosnia-Herzegovina","Monte Carlo, Monaco","Right-Handed, One-Handed Backhand","Riccardo Piatti",,"http://www.atpworldtour.com/en/players/ivan-ljubicic/l360/overview","https://twitter.com/theljubicic","https://www.facebook.com/Ivan-Ljubicic-157849380996733/","https://www.instagram.com/ivanljubicic/","01.01.2023"
72,"1999",65,168,"Namur, Belgium","Dion-Valmont, Belgium","Right-Handed, One-Handed Backhand","Reginald Willems","http://www.olivier-rochus.be","http://www.atpworldtour.com/en/players/olivier-rochus/r397/overview",,"https://www.facebook.com/olivier.rochus.395/","https://www.instagram.com/olivier_rochus/","01.01.2023"
73,"1996",86,191,"Boulay, France","Arlon, Belgium","Right-Handed, Unknown Backhand","David Martin",,"http://www.atpworldtour.com/en/players/julien-boutter/b599/overview",,,,"01.01.2023"
74,"1996",77,183,"Tandil, Argentina","Buenos Aires, Argentina","Right-Handed, One-Handed Backhand","Mariano Hood",,"http://www.atpworldtour.com/en/players/mariano-zabaleta/z073/overview","https://twitter.com/zabala7",,"https://www.instagram.com/marianozabaletaoficial/","01.01.2023"
75,"1999",73,183,"Moscow, Russia","Moscow, Russia","Right-Handed, One-Handed Backhand","Boris Sobkin",,"http://www.atpworldtour.com/en/players/mikhail-youzhny/y061/overview","https://twitter.com/youzhnyfeedr","https://www.facebook.com/mikhail.youzhny.1/","https://www.instagram.com/mikhail__youzhny/","01.01.2023"
76,"1995",86,183,"Rio Cuarto, Argentina","Buenos Aires, Argentina","Right-Handed, One-Handed Backhand",,,"http://www.atpworldtour.com/en/players/agustin-calleri/c478/overview","https://twitter.com/calleriok","https://www.facebook.com/Agust%C3%ADn-Calleri-45796098959/","https://www.instagram.com/agustincalleri/","01.01.2023"
77,"1997",77,185,"Bern, Switzerland","Ostermundigen, Switzerland","Right-Handed, Unknown Backhand","Arnaud Decugis","http://www.michel-kratochvil.com","http://www.atpworldtour.com/en/players/michel-kratochvil/k319/overview",,"https://www.facebook.com/michel.tennisacademy/","https://www.instagram.com/michel_kratochvil/","01.01.2023"
78,"1998",83,185,"Kortrijk, Belgium","Sarasota, Florida, USA","Right-Handed, Two-Handed Backhand",,"http://www.xaviermalissesite.be/","http://www.atpworldtour.com/en/players/xavier-malisse/m680/overview","https://twitter.com/xmalissesite","https://www.facebook.com/XavierMalisse",,"01.01.2023"
79,"1995",82,180,"Hoingsung, Korea","Seoul, Korea","Right-Handed, One-Handed Backhand","Yong-Il Yoon",,"http://www.atpworldtour.com/en/players/hyung-taik-lee/l311/overview",,"https://www.facebook.com/hyungtaik76/",,"01.01.2023"
80,"1997",76,183,"Zamora, Spain","Zamora, Spain","Right-Handed, Unknown Backhand","Jose Luis Aparisi",,"http://www.atpworldtour.com/en/players/david-sanchez/s677/overview",,,,"01.01.2023"
81,"1987",80,185,"Narrabri, NSW, Australia","Orlando, Florida, USA","Right-Handed, Unknown Backhand",,,"http://www.atpworldtour.com/en/players/jason-stoltenberg/s331/overview",,,,"01.01.2023"
82,"1989",73,183,"Rijnsburg, Netherlands","Monte Carlo, Monaco","Left-Handed, Unknown Backhand",,,"http://www.atpworldtour.com/en/players/jan-siemerink/s381/overview",,,,"01.01.2023"
83,"1999",86,191,"Posadas-Misiones, Argentina","Buenos Aires, Argentina","Right-Handed, One-Handed Backhand","Sebastian Prieto",,"http://www.atpworldtour.com/en/players/jose-acasuso/a389/overview","https://twitter.com/chuchoacasuso","https://www.facebook.com/jose.acasuso.188/","https://www.instagram.com/chuchoacasuso.oficial/","01.01.2023"
84,"1998",75,180,"Hostalric, Spain","Sant Cugat del Valles, Spain","Right-Handed, One-Handed Backhand","Jose Luis Aparisi","http://www.tommy-robredo.com","http://www.atpworldtour.com/en/players/tommy-robredo/r419/overview","https://twitter.com/TRobredo","https://www.facebook.com/tommy.robredo.9/","https://www.instagram.com/tommyrobredo/","01.01.2023"
85,"1995",86,185,"Buenos Aires, Argentina","Buenos Aires, Argentina","Right-Handed, Two-Handed Backhand","Gaston Etlis",,"http://www.atpworldtour.com/en/players/guillermo-canas/c433/overview","https://twitter.com/canastennisfl","https://www.facebook.com/CanasTennis/","https://www.instagram.com/canastennis/","01.01.2023"
86,"1993",78,180,"Barcelona, Spain","Monte Carlo, Monaco","Right-Handed, One-Handed Backhand","Toni Navarro",,"http://www.atpworldtour.com/en/players/felix-mantilla/m535/overview",,,,"01.01.2023"
87,"1992",88,185,"Bratislava, Czechoslovakia","Bratislava,Slovak republic","Right-Handed, Two-Handed Backhand","Marian Vajda",,"http://www.atpworldtour.com/en/players/karol-kucera/k237/overview",,"https://www.facebook.com/karol.kucera.16/","https://www.instagram.com/karol.kucera.atp/","01.01.2023"
88,"1995",74,178,"Wels, Austria","Monte Carlo, Monaco","Right-Handed, Unknown Backhand","Gilbert Schaller",,"http://www.atpworldtour.com/en/players/markus-hipfl/h364/overview",,,,"01.01.2023"
89,"2000",88,188,"Omaha, Nebraska, USA","Austin, Texas, USA","Right-Handed, Two-Handed Backhand","Larry Stefanki","http://www.AndyRoddick.com","http://www.atpworldtour.com/en/players/andy-roddick/r485/overview","https://twitter.com/andyroddick","https://www.facebook.com/Roddick","https://www.instagram.com/roddickk3/","01.01.2023"
90,"1996",68,170,"Namur, Belgium","Auvelais, Belgium","Right-Handed, Two-Handed Backhand","Ananda Vandendooren",,"http://www.atpworldtour.com/en/players/christophe-rochus/r336/overview",,,,"01.01.2023"
91,"1992",87,185,"Bayonne, France","Villeneuve Le Comte, France","Right-Handed, Unknown Backhand","Benoit Carelli",,"http://www.atpworldtour.com/en/players/antony-dupuis/d272/overview",,,,"01.01.2023"
92,"1994",68,175,"Klagenfurt, Austria","Vienna, Austria","Left-Handed, Unknown Backhand","Gunther Bresnik","https://www.stefankoubek.com","http://www.atpworldtour.com/en/players/stefan-koubek/k310/overview","https://twitter.com/koubs77","https://www.facebook.com/stefan.koubek/","https://www.instagram.com/stefankoubek/","01.01.2023"
93,"1993",82,188,"Knoxville, TN, USA","Knoxville, TN, USA","Right-Handed, Unknown Backhand","Jose Higueras",,"http://www.atpworldtour.com/en/players/chris-woodruff/w212/overview",,,,"01.01.2023"
94,"1995",72,178,"Sochi, Russia","Sochi, Russia","Right-Handed, Unknown Backhand","Dmitri Poliakov",,"http://www.atpworldtour.com/en/players/andrei-stoliarov/s688/overview",,,,"01.01.2023"
95,"1997",90,198,"Heidelberg, Germany","Hattersheim am Main, Germany","Right-Handed, Two-Handed Backhand",,,"http://www.atpworldtour.com/en/players/alexander-popp/p395/overview",,,,"01.01.2023"
96,"1992",82,191,"Arolsen, Germany","Arolsen, Germany","Right-Handed, Unknown Backhand","Martin Sinner",,"http://www.atpworldtour.com/en/players/jens-knippschild/k260/overview",,,,"01.01.2023"
97,"1998",72,178,"Washington, D.C., USA","San Francisco, CA, USA","Right-Handed, Unknown Backhand","Scott McCain",,"http://www.atpworldtour.com/en/players/paul-goldstein/g333/overview",,,,"01.01.2023"
98,"1995",86,185,"Domazlice, Czech Republic","Prague, Czech Republic","Right-Handed, Two-Handed Backhand","Ivan Jankovsky",,"http://www.atpworldtour.com/en/players/jiri-vanek/v207/overview",,,"https://www.instagram.com/vanek_jiri/","01.01.2023"
99,"1993",73,183,"Mulheim, Germany","Altstaetten, Switzerland","Right-Handed, Two-Handed Backhand","Dirk Hordoff","http://lars-burgsmuller.de","http://www.atpworldtour.com/en/players/lars-burgsmuller/b484/overview",,,,"01.01.2023"
100,"1990",64,180,"Buenos Aires, Argentina","Sao Paulo, Brazil","Left-Handed, Unknown Backhand","Enrique Perez","http://www.uol.com.br/fernandomeligeni","http://www.atpworldtour.com/en/players/fernando-meligeni/m443/overview","https://twitter.com/meligeni","https://www.facebook.com/finomeligeni/","https://www.instagram.com/meligeni","01.01.2023"
101,"1992",76,185,"Barcelona, Spain","Miami","Right-Handed, One-Handed Backhand","Pato Alvarez",,"http://www.atpworldtour.com/en/players/juan-albert-viloca-puig/v161/overview",,,,"01.01.2023"
102,"1990",95,188,"Johannesburg, South Africa","Alpharetta, GA 30022","Right-Handed, Two-Handed Backhand","Dennis Van der Meer",,"http://www.atpworldtour.com/en/players/grant-stafford/s406/overview",,,,"01.01.2023"
103,"1992",78,185,"Bucharest, Romania","Monaco","Right-Handed, Unknown Backhand","Klaus Hofsaess",,"http://www.atpworldtour.com/en/players/alex-radulescu/r284/overview",,,,"01.01.2023"
104,"1988",83,185,"Sanford, Florida, USA","Orlando, Florida, USA","Right-Handed, Unknown Backhand","Brad Stine",,"http://www.atpworldtour.com/en/players/jim-courier/c243/overview",,,,"01.01.2023"
105,"1993",78,175,"Brisbane, QLD, Australia","Brisbane, Qld, Australia","Left-Handed, One-Handed Backhand",,,"http://www.atpworldtour.com/en/players/scott-draper/d270/overview",,,,"01.01.2023"
