id_p,tm,tmw,tml,aces,df,fs,wfs,wss,bps,bpw,fsp,fssp
51853,96,69,27,220,330,57,70,50,57,44,0,0
87766,77,52,25,301,215,60,71,50,62,43,0,0
85523,56,32,24,186,140,65,66,48,56,43,0,0
23816,73,47,26,359,214,64,71,50,63,42,0,0
10404,66,46,20,222,134,63,68,51,56,47,0,0
83315,90,55,35,634,183,60,71,51,60,41,218,188
36062,109,84,25,522,242,66,72,54,62,41,0,0
30397,59,34,25,313,191,59,71,49,63,42,0,0
18414,74,54,20,246,134,58,71,52,63,48,0,0
29457,55,25,30,101,124,67,62,49,58,45,209,182
46722,43,17,26,258,147,54,70,48,56,38,225,169
11981,89,56,33,202,285,65,66,46,59,46,0,0
83555,93,60,33,261,268,64,66,51,58,44,0,0
28992,83,54,29,289,150,56,68,51,59,46,0,0
65904,40,23,17,163,141,54,70,50,61,47,212,175
95464,71,45,26,278,206,59,70,49,59,39,0,0
13429,46,23,23,278,135,57,71,49,59,40,205,185
48442,62,28,34,395,184,59,71,51,56,40,208,192
66379,68,37,31,80,268,69,62,46,58,45,0,0
74153,76,49,27,231,167,68,68,51,60,42,0,0
76333,60,28,32,251,244,55,70,50,62,40,197,177
29579,51,21,30,59,88,69,60,45,55,42,195,174
76010,57,29,28,255,176,60,68,46,58,43,201,174
31290,34,19,15,197,90,61,72,50,65,41,219,199
79813,80,47,33,460,343,54,72,47,59,44,0,0
39438,74,41,33,421,213,62,69,49,60,38,197,177
34537,73,50,23,197,156,61,69,54,58,47,0,0
38876,67,32,35,214,189,59,66,49,57,37,197,177
35036,57,24,33,172,192,59,66,47,60,37,201,183
77659,74,45,29,74,161,63,63,51,52,47,0,0
46407,74,45,29,411,148,62,73,51,60,42,0,0
35296,79,49,30,315,270,58,70,51,61,44,0,0
32764,65,34,31,200,115,67,66,49,55,42,0,0
64896,32,16,16,90,26,68,67,51,61,41,194,172
38936,79,49,30,255,147,57,69,47,57,48,0,0
23100,37,11,26,139,92,63,64,47,51,36,199,177
18524,30,12,18,131,91,63,70,50,58,35,194,176
89131,66,42,24,141,182,55,65,50,54,45,0,0
10231,74,42,32,245,207,53,70,47,59,41,0,0
50118,86,59,27,252,250,62,68,50,59,44,0,0
9675,69,47,22,205,193,57,70,50,57,49,0,0
85899,38,20,18,172,108,60,67,50,58,40,207,187
28087,18,8,10,344,67,63,79,51,66,29,228,202
21524,77,48,29,312,185,60,69,52,61,40,0,0
73918,66,35,31,288,205,61,70,49,61,41,212,189
84120,85,62,23,494,140,55,72,51,60,44,0,0
50143,70,40,30,129,91,66,66,51,58,43,0,0
83223,90,57,33,137,367,69,64,44,57,48,0,0
29462,87,50,37,361,225,58,72,52,63,41,0,0
73196,27,12,15,197,93,54,75,50,59,33,202,178
54163,50,41,9,297,135,68,72,53,63,42,0,0
64916,65,38,27,135,179,63,67,51,60,49,0,0
7732,87,52,35,333,242,57,68,50,59,44,0,0
34103,78,55,23,204,282,64,67,51,59,46,0,0
28895,69,26,43,352,415,59,71,47,56,40,0,0
42963,76,49,27,100,209,64,61,49,54,47,0,0
53726,76,50,26,193,160,63,65,50,55,43,0,0
20396,77,49,28,171,143,61,65,51,56,46,0,0
26500,71,36,35,280,228,59,69,49,61,38,199,187
58432,81,59,22,106,148,69,65,53,60,47,0,0
22992,83,53,30,401,135,67,71,54,61,40,0,0
68393,61,44,17,198,233,60,70,50,62,49,0,0
36042,81,64,17,440,114,62,73,52,63,46,0,0
9833,59,32,27,220,177,58,70,50,61,40,0,0
37577,65,32,33,94,120,68,63,48,53,40,0,0
51417,38,16,22,111,117,56,67,49,60,42,204,189
26925,20,8,12,107,62,65,70,46,59,43,222,192
84083,80,58,22,504,176,62,74,53,62,42,0,0
46422,58,32,26,145,167,58,66,49,54,46,0,0
18495,84,52,32,114,276,62,65,51,58,44,0,0
25365,51,24,27,208,203,66,68,48,58,43,205,178
12534,59,28,31,126,185,62,63,46,54,46,0,0
61537,107,74,33,100,234,71,63,49,58,50,0,0
58005,66,53,13,218,82,66,71,58,59,48,0,0
59163,66,40,26,259,131,60,71,51,64,38,0,0
72574,35,15,20,433,159,58,75,49,68,33,218,191
26218,54,22,32,294,182,59,70,47,60,42,202,183
21329,38,17,21,318,101,62,73,50,60,37,208,183
43196,71,45,26,165,224,63,68,47,60,40,0,0
97369,48,25,23,159,115,61,68,51,61,40,0,0
18772,61,29,32,460,171,63,72,49,61,34,0,0
51846,79,52,27,121,402,61,66,45,57,46,0,0
38107,69,36,33,261,182,63,69,52,60,37,0,0
18348,64,34,30,181,97,61,67,49,55,48,0,0
81980,47,29,18,290,142,63,72,50,63,40,0,0
17837,47,24,23,144,84,68,67,50,58,39,182,172
79634,84,61,23,395,299,63,72,48,62,45,0,0
33614,77,49,28,543,177,62,72,53,60,42,0,0
17058,67,33,34,236,120,66,67,50,59,39,198,154
73399,86,50,36,258,218,62,67,48,57,41,0,0
18017,47,20,27,399,195,63,73,49,63,35,215,192
80183,63,46,17,496,150,57,77,52,64,40,0,0
84236,59,35,24,139,194,61,67,50,59,42,0,0
69015,81,52,29,194,261,59,70,50,59,48,0,0
56590,43,18,25,107,121,62,65,50,56,39,192,169
86924,63,47,16,385,130,53,74,52,59,46,0,0
44209,66,40,26,185,104,67,65,52,58,42,0,0
42990,76,50,26,204,97,65,68,52,60,45,0,0
28762,14,5,9,40,59,57,65,51,60,37,202,180
24647,71,45,26,399,85,57,72,49,62,40,0,0
41484,67,32,35,68,207,65,62,48,56,45,0,0
22429,54,28,26,132,129,68,66,48,57,41,0,0
41964,55,42,13,181,76,61,68,54,63,47,0,0
29889,76,59,17,679,236,55,78,53,65,41,0,0
26221,56,37,19,107,242,65,65,48,60,44,0,0
13209,67,41,26,118,172,63,67,48,60,48,0,0
20847,64,39,25,293,189,57,73,52,59,40,0,0
40795,102,60,42,149,156,72,62,51,57,45,0,0
36276,102,65,37,538,475,58,69,48,55,45,0,0
46748,68,42,26,277,239,63,71,47,59,44,0,0
45197,64,39,25,232,154,62,69,52,55,44,0,0
22269,71,41,30,407,210,56,73,48,61,41,0,0
53909,62,44,18,374,188,53,75,51,64,44,0,0
97973,52,29,23,255,141,58,69,51,60,44,0,0
54996,80,52,28,231,333,63,69,51,63,43,0,0
89108,38,27,11,153,87,65,68,55,68,42,0,0
58723,72,46,26,37,58,79,58,51,56,45,0,0
27783,72,41,31,497,199,58,73,50,56,45,0,0
89396,59,34,25,236,198,61,69,54,61,43,0,0
57304,65,38,27,238,180,57,69,51,58,40,0,0
17829,26,11,15,49,67,64,64,47,51,45,184,165
77192,36,29,7,200,90,67,74,55,66,41,0,0
23090,40,25,15,266,98,53,73,51,62,40,0,0
36470,59,36,23,512,188,60,76,48,63,38,0,0
32729,21,11,10,146,88,55,75,50,53,44,211,183
