id_p,tm,tmw,tml,aces,df,fs,wfs,wss,bps,bpw,fsp,fssp
55956,11,6,5,47,57,58,68,48,50,51,0,0
55972,7,3,4,3,21,60,56,40,52,43,0,0
55974,1,0,1,1,8,45,53,22,20,0,0,0
55979,3,1,2,0,11,71,53,48,45,45,0,0
56107,16,5,11,7,85,51,60,45,45,45,0,0
56125,2,0,2,1,8,59,40,39,38,30,0,0
56279,28,12,16,30,98,53,59,41,43,50,0,0
56441,5,2,3,7,20,63,51,34,48,45,0,0
56466,35,9,26,18,73,69,51,37,45,50,0,0
56718,1,0,1,0,12,47,70,29,58,30,0,0
56851,33,10,23,21,102,69,55,45,54,44,0,0
56927,13,7,6,15,67,60,59,51,52,52,0,0
57026,7,5,2,8,28,60,68,40,38,52,0,0
57091,3,2,1,4,11,57,65,52,57,55,0,0
57093,10,5,5,5,41,62,56,40,47,59,0,0
57151,5,2,3,0,9,73,51,43,26,48,0,0
57163,1,0,1,1,4,59,42,38,44,0,0,0
57209,15,9,6,21,45,60,59,49,53,52,0,0
57210,15,4,11,44,91,58,62,38,52,45,0,0
57224,31,14,17,85,229,47,64,40,54,48,0,0
57278,15,5,10,7,58,66,54,42,46,48,0,0
57285,13,2,11,9,49,60,52,36,45,47,0,0
57286,1,0,1,0,8,54,60,33,40,18,0,0
57295,5,2,3,1,17,59,49,42,43,56,0,0
57363,1,0,1,0,3,64,11,20,25,0,0,0
57374,1,0,1,1,5,61,61,37,50,25,0,0
57515,8,2,6,6,57,68,56,32,57,37,0,0
57516,1,0,1,0,5,58,40,21,44,0,0,0
57528,16,4,12,3,100,64,52,39,45,45,0,0
57539,3,0,3,1,11,61,47,38,48,57,0,0
57627,10,5,5,10,29,63,55,45,47,51,0,0
57735,2,1,1,0,1,85,47,64,46,46,0,0
57744,8,3,5,9,22,66,51,39,39,54,0,0
57746,2,0,2,0,8,53,32,41,23,100,0,0
57758,3,2,1,13,11,57,70,41,37,46,0,0
57766,12,7,5,12,66,61,61,43,50,45,0,0
57880,1,0,1,1,6,34,33,32,57,0,0,0
57882,10,6,4,29,45,61,68,45,54,47,0,0
57885,1,0,1,0,4,68,25,28,30,40,0,0
57891,23,8,15,19,106,62,55,40,49,54,0,0
57947,3,2,1,8,14,65,61,32,38,42,0,0
58149,8,4,4,13,53,52,61,41,60,56,0,0
58164,1,0,1,2,4,52,51,41,16,20,0,0
58168,31,14,17,48,101,58,57,43,47,51,0,0
58170,23,8,15,36,48,60,59,47,58,43,0,0
58377,2,0,2,0,11,62,41,32,33,50,0,0
58474,2,0,2,0,17,37,28,23,18,25,0,0
58594,37,12,25,30,130,67,54,41,51,48,0,0
58605,36,15,21,84,121,55,61,43,50,49,0,0
58609,2,0,2,0,13,62,61,21,47,14,0,0
58617,27,9,18,3,59,75,52,38,44,48,0,0
58723,1,0,1,0,3,60,30,15,14,0,0,0
58724,5,0,5,2,18,57,53,52,61,45,0,0
58732,1,0,1,1,2,52,67,41,33,40,0,0
58733,6,2,4,0,30,64,50,45,38,39,0,0
58892,1,0,1,1,12,47,50,26,23,70,0,0
58893,42,20,22,22,209,67,56,39,47,54,0,0
58897,3,1,2,3,12,60,61,37,45,36,0,0
58898,8,2,6,6,44,62,56,39,48,44,0,0
58901,4,0,4,2,19,59,45,32,43,42,0,0
58907,3,0,3,0,4,70,47,44,38,38,0,0
59029,1,0,1,0,8,70,43,31,40,33,0,0
59171,1,0,1,1,3,70,22,22,14,0,0,0
59178,1,0,1,0,6,72,42,28,42,50,0,0
59180,22,7,15,3,62,71,52,43,50,46,0,0
59189,12,0,12,12,62,54,47,34,45,25,0,0
59282,3,0,3,0,16,52,27,20,21,50,0,0
59293,7,2,5,9,23,57,57,41,46,45,0,0
59397,25,9,16,51,79,61,58,43,52,40,0,0
59411,1,0,1,1,2,53,62,36,44,33,177,151
59433,9,3,6,3,38,62,53,36,44,43,0,0
59434,3,1,2,0,10,69,51,40,38,79,0,0
59440,22,9,13,38,40,65,56,41,49,45,0,0
59443,7,2,5,2,7,70,48,42,49,37,0,0
59447,3,2,1,3,3,62,67,43,52,76,0,0
59478,1,0,1,0,1,69,41,44,53,50,0,0
59573,30,14,16,85,96,64,66,44,56,45,0,0
59578,12,6,6,15,89,59,57,39,48,48,0,0
59583,1,0,1,0,5,50,55,47,63,20,0,0
59591,10,8,2,36,21,59,65,45,51,51,0,0
59756,22,5,17,2,108,66,50,41,47,49,0,0
59761,3,0,3,5,12,58,55,38,58,33,0,0
59776,17,10,7,32,136,60,63,39,55,55,0,0
59907,12,3,9,11,100,58,57,32,52,43,0,0
59919,38,17,21,19,120,67,56,41,51,54,0,0
59926,39,19,20,23,108,61,56,43,43,47,0,0
