ID_P,TURNED_PRO,WEIGHT,HEIGHT,BIRTHPLACE,RESIDENCE,PLAYS,COACH,SITE,PAGE,TWITTER,FACEBOOK,INSTAGRAM,LAST_REVISED
97,,,,,,,,,"http://www.wtatennis.com/player-profile/140076",,,,"01.01.2023"
98,"Pro(October1995)",56,173,"Moscow, Russia","Miami, Florida, USA","Right-handed (two-handed backhand)",,"http://www.kournikova.com","http://www.wtatennis.com/player-profile/110375","https://twitter.com/annakounikova","https://www.facebook.com/Kournikova/","https://www.instagram.com/annakournikova/","01.01.2023"
99,,,,,,,,,"http://www.wtatennis.com/player-profile/160164",,,,"01.01.2023"
100,,,,,,,,,"http://www.wtatennis.com/player-profile/180252",,,,"01.01.2023"
101,,,,,,,,,"http://www.wtatennis.com/players/200060/jane-taylor",,,,"01.01.2023"
102,"Pro(1994)/Retired(2006)",59,171,"Salamanca, Spain","Barcelona, Spain","Right-handed (two-handed forehand and backhand)",,,"http://www.wtatennis.com/player-profile/190435",,,,"01.01.2023"
103,,,,,,,,,"http://www.wtatennis.com/player-profile/160093",,,,"01.01.2023"
104,"Pro(February1988)/Retired(April2006)",59,170,"Huesca, Spain","Barcelona, Spain and San Diego, California, USA","Right-handed",,,"http://www.wtatennis.com/player-profile/130113","https://twitter.com/conchitamartinz","https://www.facebook.com/fanconchitamartinez/","https://www.instagram.com/conchita__martinez/","01.01.2023"
105,"Pro(April1,1994)/Retired(2002)",53,166,"Sternberk, Czech Republic","Naples, FL, USA","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/70267",,,,"01.01.2023"
106,,,,,,,,,"http://www.wtatennis.com/player-profile/120010",,,,"01.01.2023"
107,"Pro(July1991)",64,178,"Rotterdam, Netherlands","Oud-Beijerland, Netherlands","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/20303",,,,"01.01.2023"
108,"Pro(May18,1991)",68,177,"Somerville, New Jersey, USA","Gainesville, Florida, USA","Left-handed",,,"http://www.wtatennis.com/player-profile/10025",,,,"01.01.2023"
109,"Pro(Feb.1990)",56,157,"Barcelona, Spain","Barcelona, Spain","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/130324",,,,"01.01.2023"
110,,,,,,,,,"http://www.wtatennis.com/player-profile/130054",,,,"01.01.2023"
111,,,,,,,,,"http://www.wtatennis.com/player-profile/30147",,,,"01.01.2023"
112,"Pro",58,169,"Prague, Czech Republic","Munich, Germany","Right-handed",,,"http://www.wtatennis.com/player-profile/110181",,,,"01.01.2023"
113,"Pro(1983)",61,170,"San Diego, California, USA","Houston, Texas, USA","Right-handed",,,"http://www.wtatennis.com/player-profile/130049",,,,"01.01.2023"
114,,,,,,,,,"http://www.wtatennis.com/player-profile/60163",,,,"01.01.2023"
115,,,,,,,,,"http://www.wtatennis.com/player-profile/160053",,,,"01.01.2023"
116,"Pro",59,179,"Johannesburg, South Africa","Benoni, South Africa","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/110167",,,,"01.01.2023"
117,"Pro",59,174,"Detroit, Michigan, USA","Boca Raton, Florida, USA","Right-handed",,,"http://www.wtatennis.com/player-profile/130483",,,,"01.01.2023"
